BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;09.04.2014;Индекс МосБиржи;Индекс МосБиржи;1348,85;1353,18;1355,77;1337,98;39501266590;;;2;6,08722E+12;RUB;4512891870;3;
SNDX;IMOEX;10.04.2014;Индекс МосБиржи;Индекс МосБиржи;1367,71;1348,77;1367,88;1348,21;41994459771;;;2;6,17231E+12;RUB;4512891870;3;
SNDX;IMOEX;11.04.2014;Индекс МосБиржи;Индекс МосБиржи;1362,4;1367,65;1371,12;1346,03;39574923084;;;2;6,14835E+12;RUB;4512891870;3;
SNDX;IMOEX;14.04.2014;Индекс МосБиржи;Индекс МосБиржи;1344,86;1362,04;1362,1;1336,98;43507706220;;;2;6,06923E+12;RUB;4512891870;3;
SNDX;IMOEX;15.04.2014;Индекс МосБиржи;Индекс МосБиржи;1311,01;1344,18;1347,88;1308,86;41391606206;;;2;5,91644E+12;RUB;4512891870;3;
SNDX;IMOEX;16.04.2014;Индекс МосБиржи;Индекс МосБиржи;1322,6;1310,98;1326,2;1300,75;50484601503;;;2;5,96877E+12;RUB;4512891870;3;
SNDX;IMOEX;17.04.2014;Индекс МосБиржи;Индекс МосБиржи;1329,67;1322,67;1336,24;1310,92;35896730364;;;2;6,00064E+12;RUB;4512891870;3;
SNDX;IMOEX;18.04.2014;Индекс МосБиржи;Индекс МосБиржи;1356,54;1330,57;1362,46;1330,57;28168831213;;;2;6,12192E+12;RUB;4512891870;3;
SNDX;IMOEX;21.04.2014;Индекс МосБиржи;Индекс МосБиржи;1345,04;1356,48;1359,21;1342,38;20143790154;;;2;6,07002E+12;RUB;4512891870;3;
SNDX;IMOEX;22.04.2014;Индекс МосБиржи;Индекс МосБиржи;1335,62;1345;1345,19;1327,04;33034264906;;;2;6,02752E+12;RUB;4512891870;3;
SNDX;IMOEX;23.04.2014;Индекс МосБиржи;Индекс МосБиржи;1329,11;1335,65;1335,65;1324,21;29810475925;;;2;5,99815E+12;RUB;4512891870;3;
SNDX;IMOEX;24.04.2014;Индекс МосБиржи;Индекс МосБиржи;1300,54;1329,1;1334,32;1289,85;49874818331;;;2;5,86921E+12;RUB;4512891870;3;
SNDX;IMOEX;25.04.2014;Индекс МосБиржи;Индекс МосБиржи;1280,12;1300,53;1300,53;1277,92;48263358097;;;2;5,77702E+12;RUB;4512891870;3;
SNDX;IMOEX;28.04.2014;Индекс МосБиржи;Индекс МосБиржи;1299,13;1278,12;1302,13;1260,39;57728932367;;;2;5,86282E+12;RUB;4512891870;3;
SNDX;IMOEX;29.04.2014;Индекс МосБиржи;Индекс МосБиржи;1304,78;1300,83;1318,36;1298,66;37894446155;;;2;5,88831E+12;RUB;4512891870;3;
SNDX;IMOEX;30.04.2014;Индекс МосБиржи;Индекс МосБиржи;1306,01;1304,76;1309,53;1296,24;27633273026;;;2;5,89389E+12;RUB;4512891870;3;
SNDX;IMOEX;02.05.2014;Индекс МосБиржи;Индекс МосБиржи;1304,84;1304,93;1306,44;1292,08;15722736384;;;2;5,8886E+12;RUB;4512891870;3;
SNDX;IMOEX;05.05.2014;Индекс МосБиржи;Индекс МосБиржи;1298,29;1302,99;1306,43;1289,8;15961246766;;;2;5,85906E+12;RUB;4512891870;3;
SNDX;IMOEX;06.05.2014;Индекс МосБиржи;Индекс МосБиржи;1318,57;1299,07;1321,49;1299,07;30132972425;;;2;5,95056E+12;RUB;4512891870;3;
SNDX;IMOEX;07.05.2014;Индекс МосБиржи;Индекс МосБиржи;1363,48;1316,74;1379,42;1312,62;59698326165;;;2;6,15325E+12;RUB;4512891870;3;
SNDX;IMOEX;08.05.2014;Индекс МосБиржи;Индекс МосБиржи;1371,42;1364,29;1383,84;1355,34;53087912546;;;2;6,18908E+12;RUB;4512891870;3;
SNDX;IMOEX;12.05.2014;Индекс МосБиржи;Индекс МосБиржи;1375,31;1372,09;1383,99;1362,93;37536188802;;;2;6,20662E+12;RUB;4512891870;3;
SNDX;IMOEX;13.05.2014;Индекс МосБиржи;Индекс МосБиржи;1385,29;1375,56;1395,22;1375,56;44141421463;;;2;6,25166E+12;RUB;4512891870;3;
SNDX;IMOEX;14.05.2014;Индекс МосБиржи;Индекс МосБиржи;1389,11;1385,27;1389,21;1378,39;33917167205;;;2;6,2689E+12;RUB;4512891870;3;
SNDX;IMOEX;15.05.2014;Индекс МосБиржи;Индекс МосБиржи;1381,99;1388,68;1399,52;1381,2;40174867065;;;2;6,23675E+12;RUB;4512891870;3;
SNDX;IMOEX;16.05.2014;Индекс МосБиржи;Индекс МосБиржи;1392,3;1381,44;1392,3;1374,24;33229737990;;;2;6,2833E+12;RUB;4512891870;3;
SNDX;IMOEX;19.05.2014;Индекс МосБиржи;Индекс МосБиржи;1413,85;1392,51;1418,88;1392,42;42083062698;;;2;6,38054E+12;RUB;4512891870;3;
SNDX;IMOEX;20.05.2014;Индекс МосБиржи;Индекс МосБиржи;1425,58;1413,86;1426,1;1406,85;49706788626;;;2;6,4335E+12;RUB;4512891870;3;
SNDX;IMOEX;21.05.2014;Индекс МосБиржи;Индекс МосБиржи;1439,9;1425,57;1441,93;1415,28;60826079053;;;2;6,49811E+12;RUB;4512891870;3;
SNDX;IMOEX;22.05.2014;Индекс МосБиржи;Индекс МосБиржи;1430,54;1440,79;1446,72;1420,49;33777890007;;;2;6,45588E+12;RUB;4512891870;3;
SNDX;IMOEX;23.05.2014;Индекс МосБиржи;Индекс МосБиржи;1438,98;1430,54;1440,8;1422,07;36655049047;;;2;6,49394E+12;RUB;4512891870;3;
SNDX;IMOEX;26.05.2014;Индекс МосБиржи;Индекс МосБиржи;1449,36;1439,15;1456,7;1438,31;26221929164;;;2;6,54082E+12;RUB;4512891870;3;
